,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.05
1,20,1.0,199,4000,0.07
2,20,-1.0,299,6000,0.16
3,20,1.0,399,8000,0.33
4,20,1.0,499,10000,0.39
5,20,0.0,599,12000,0.39
6,20,-1.0,699,14000,0.45
7,20,2.0,799,16000,0.41
8,20,0.0,899,18000,0.49
9,20,2.0,999,20000,0.39
10,20,0.0,1099,22000,0.69
11,20,0.0,1199,24000,0.57
12,20,0.0,1299,26000,0.75
13,20,0.0,1399,28000,0.68
14,20,1.0,1499,30000,0.75
15,20,1.0,1599,32000,0.85
16,20,2.0,1699,34000,0.84
17,20,0.0,1799,36000,0.74
18,20,0.0,1899,38000,0.64
19,20,1.0,1999,40000,0.79
20,20,1.0,2099,42000,0.92
21,20,2.0,2199,44000,0.88
22,20,0.0,2299,46000,0.88
23,20,2.0,2399,48000,0.84
24,20,2.0,2499,50000,0.79
25,20,1.0,2599,52000,0.87
26,20,1.0,2699,54000,0.94
27,20,0.0,2799,56000,0.97
28,20,1.0,2899,58000,0.95
29,20,1.0,2999,60000,0.85
30,20,1.0,3099,62000,1.1
31,20,1.0,3199,64000,0.91
32,20,1.0,3299,66000,1.1
33,20,1.0,3399,68000,0.93
34,20,1.0,3499,70000,0.98
35,20,2.0,3599,72000,1.05
36,20,2.0,3699,74000,1.01
37,20,2.0,3799,76000,1.04
38,20,1.0,3899,78000,1.04
39,20,1.0,3999,80000,0.94
40,20,1.0,4099,82000,0.91
41,20,-1.0,4199,84000,0.96
42,20,0.0,4299,86000,1.09
43,20,1.0,4399,88000,1.01
44,20,0.0,4499,90000,1.2
45,20,1.0,4599,92000,0.95
46,20,2.0,4699,94000,1.04
47,20,2.0,4799,96000,1.08
48,20,1.0,4899,98000,1.01
49,20,1.0,4999,100000,1.02
