,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.21
1,20,2.0,199,4000,-0.14
2,20,1.0,299,6000,-0.14
3,20,0.0,399,8000,0.13
4,20,-1.0,499,10000,0.27
5,20,0.0,599,12000,0.35
6,20,2.0,699,14000,0.56
7,20,0.0,799,16000,0.55
8,20,2.0,899,18000,0.38
9,20,1.0,999,20000,0.75
10,20,1.0,1099,22000,0.81
11,20,0.0,1199,24000,0.84
12,20,1.0,1299,26000,0.87
13,20,2.0,1399,28000,0.77
14,20,1.0,1499,30000,0.83
15,20,0.0,1599,32000,0.83
16,20,0.0,1699,34000,0.92
17,20,2.0,1799,36000,1.11
18,20,1.0,1899,38000,0.98
19,20,2.0,1999,40000,1.02
20,20,1.0,2099,42000,1.11
21,20,0.0,2199,44000,1.09
22,20,1.0,2299,46000,1.24
23,20,0.0,2399,48000,1.18
24,20,0.0,2499,50000,1.09
25,20,1.0,2599,52000,1.1
26,20,1.0,2699,54000,1.09
27,20,2.0,2799,56000,1.17
28,20,0.0,2899,58000,1.14
29,20,1.0,2999,60000,1.39
30,20,0.0,3099,62000,1.1
31,20,2.0,3199,64000,1.14
32,20,2.0,3299,66000,1.14
33,20,2.0,3399,68000,1.37
34,20,2.0,3499,70000,1.13
35,20,2.0,3599,72000,1.14
36,20,1.0,3699,74000,1.27
37,20,1.0,3799,76000,1.19
38,20,0.0,3899,78000,1.1
39,20,2.0,3999,80000,1.31
40,20,1.0,4099,82000,1.22
41,20,1.0,4199,84000,1.23
42,20,1.0,4299,86000,1.17
43,20,1.0,4399,88000,1.04
44,20,2.0,4499,90000,1.22
45,20,0.0,4599,92000,1.19
46,20,2.0,4699,94000,1.4
47,20,0.0,4799,96000,1.23
48,20,2.0,4899,98000,1.36
49,20,2.0,4999,100000,1.23
