,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.66
1,20,0.0,199,4000,0.91
2,20,1.0,299,6000,0.88
3,20,1.0,399,8000,0.85
4,20,0.0,499,10000,1.05
5,20,1.0,599,12000,1.08
6,20,1.0,699,14000,1.11
7,20,1.0,799,16000,1.02
8,20,2.0,899,18000,1.26
9,20,0.0,999,20000,1.01
10,20,1.0,1099,22000,1.01
11,20,1.0,1199,24000,1.03
12,20,1.0,1299,26000,1.09
13,20,1.0,1399,28000,0.98
14,20,1.0,1499,30000,0.86
15,20,2.0,1599,32000,0.96
16,20,1.0,1699,34000,1.13
17,20,-1.0,1799,36000,1.07
18,20,1.0,1899,38000,1.22
19,20,1.0,1999,40000,1.16
20,20,2.0,2099,42000,1.07
21,20,0.0,2199,44000,1.12
22,20,1.0,2299,46000,1.0
23,20,2.0,2399,48000,1.1
24,20,2.0,2499,50000,1.22
25,20,1.0,2599,52000,1.15
26,20,1.0,2699,54000,1.2
27,20,1.0,2799,56000,1.19
28,20,1.0,2899,58000,1.18
29,20,1.0,2999,60000,1.16
30,20,0.0,3099,62000,1.06
31,20,1.0,3199,64000,1.33
32,20,1.0,3299,66000,1.25
33,20,2.0,3399,68000,1.12
34,20,0.0,3499,70000,1.26
35,20,1.0,3599,72000,1.19
36,20,0.0,3699,74000,1.16
37,20,3.0,3799,76000,1.24
38,20,2.0,3899,78000,1.08
39,20,2.0,3999,80000,1.2
40,20,1.0,4099,82000,1.24
41,20,2.0,4199,84000,1.14
42,20,2.0,4299,86000,1.17
43,20,2.0,4399,88000,1.15
44,20,1.0,4499,90000,1.2
45,20,2.0,4599,92000,1.3
46,20,2.0,4699,94000,1.32
47,20,-1.0,4799,96000,1.17
48,20,1.0,4899,98000,1.33
49,20,1.0,4999,100000,1.32
