,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.1
1,20,2.0,199,4000,0.19
2,20,0.0,299,6000,0.36
3,20,1.0,399,8000,0.29
4,20,-1.0,499,10000,0.33
5,20,2.0,599,12000,0.47
6,20,2.0,699,14000,0.47
7,20,1.0,799,16000,0.55
8,20,1.0,899,18000,0.35
9,20,1.0,999,20000,0.77
10,20,1.0,1099,22000,0.63
11,20,1.0,1199,24000,0.61
12,20,2.0,1299,26000,0.55
13,20,-1.0,1399,28000,0.73
14,20,0.0,1499,30000,0.83
15,20,-1.0,1599,32000,0.64
16,20,1.0,1699,34000,0.68
17,20,0.0,1799,36000,0.95
18,20,1.0,1899,38000,0.59
19,20,0.0,1999,40000,0.74
20,20,-1.0,2099,42000,0.66
21,20,0.0,2199,44000,0.71
22,20,2.0,2299,46000,0.77
23,20,1.0,2399,48000,0.92
24,20,1.0,2499,50000,0.74
25,20,1.0,2599,52000,0.94
26,20,1.0,2699,54000,0.85
27,20,1.0,2799,56000,0.86
28,20,0.0,2899,58000,0.73
29,20,2.0,2999,60000,0.84
30,20,-2.0,3099,62000,0.96
31,20,1.0,3199,64000,0.79
32,20,0.0,3299,66000,1.03
33,20,2.0,3399,68000,0.9
34,20,1.0,3499,70000,1.11
35,20,1.0,3599,72000,0.89
36,20,3.0,3699,74000,1.09
37,20,2.0,3799,76000,0.9
38,20,0.0,3899,78000,1.06
39,20,0.0,3999,80000,0.87
40,20,2.0,4099,82000,0.96
41,20,1.0,4199,84000,1.02
42,20,0.0,4299,86000,1.14
43,20,1.0,4399,88000,0.91
44,20,0.0,4499,90000,1.09
45,20,0.0,4599,92000,1.03
46,20,1.0,4699,94000,0.88
47,20,1.0,4799,96000,1.01
48,20,2.0,4899,98000,1.03
49,20,2.0,4999,100000,1.03
