,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,99,2000,0.24
1,20,0.0,199,4000,0.34
2,20,1.0,299,6000,0.1
3,20,2.0,399,8000,0.25
4,20,1.0,499,10000,0.32
5,20,0.0,599,12000,0.42
6,20,2.0,699,14000,0.35
7,20,2.0,799,16000,0.6
8,20,0.0,899,18000,0.57
9,20,2.0,999,20000,0.79
10,20,-1.0,1099,22000,0.57
11,20,0.0,1199,24000,0.99
12,20,2.0,1299,26000,1.05
13,20,3.0,1399,28000,1.05
14,20,2.0,1499,30000,0.98
15,20,-1.0,1599,32000,1.19
16,20,2.0,1699,34000,0.92
17,20,0.0,1799,36000,1.09
18,20,2.0,1899,38000,1.18
19,20,1.0,1999,40000,1.1
20,20,2.0,2099,42000,1.19
21,20,3.0,2199,44000,1.15
22,20,3.0,2299,46000,1.29
23,20,-1.0,2399,48000,1.08
24,20,1.0,2499,50000,1.37
25,20,2.0,2599,52000,1.5
26,20,-1.0,2699,54000,1.28
27,20,3.0,2799,56000,1.25
28,20,2.0,2899,58000,1.51
29,20,1.0,2999,60000,1.39
30,20,2.0,3099,62000,1.36
31,20,1.0,3199,64000,1.28
32,20,1.0,3299,66000,1.5
33,20,1.0,3399,68000,1.4
34,20,2.0,3499,70000,1.48
35,20,0.0,3599,72000,1.34
36,20,1.0,3699,74000,1.45
37,20,1.0,3799,76000,1.13
38,20,0.0,3899,78000,1.37
39,20,2.0,3999,80000,1.62
40,20,2.0,4099,82000,1.45
41,20,0.0,4199,84000,1.41
42,20,1.0,4299,86000,1.39
43,20,2.0,4399,88000,1.31
44,20,1.0,4499,90000,1.56
45,20,1.0,4599,92000,1.49
46,20,1.0,4699,94000,1.53
47,20,2.0,4799,96000,1.48
48,20,2.0,4899,98000,1.51
49,20,2.0,4999,100000,1.52
