,episode_length,ep_reward,episodes,total_step,average_return
0,20,-2.0,99,2000,-0.06
1,20,0.0,199,4000,-0.02
2,20,-1.0,299,6000,0.1
3,20,0.0,399,8000,0.16
4,20,0.0,499,10000,0.12
5,20,0.0,599,12000,0.12
6,20,0.0,699,14000,0.15
7,20,1.0,799,16000,0.32
8,20,0.0,899,18000,0.48
9,20,2.0,999,20000,0.44
10,20,1.0,1099,22000,0.5
11,20,0.0,1199,24000,0.67
12,20,1.0,1299,26000,0.74
13,20,1.0,1399,28000,0.47
14,20,1.0,1499,30000,0.62
15,20,1.0,1599,32000,0.8
16,20,1.0,1699,34000,0.75
17,20,2.0,1799,36000,0.8
18,20,0.0,1899,38000,0.63
19,20,1.0,1999,40000,0.85
20,20,2.0,2099,42000,0.94
21,20,1.0,2199,44000,0.97
22,20,1.0,2299,46000,1.02
23,20,1.0,2399,48000,1.06
24,20,2.0,2499,50000,1.05
25,20,0.0,2599,52000,0.99
26,20,1.0,2699,54000,0.97
27,20,0.0,2799,56000,1.01
28,20,2.0,2899,58000,0.97
29,20,1.0,2999,60000,1.03
30,20,3.0,3099,62000,0.97
31,20,0.0,3199,64000,1.04
32,20,1.0,3299,66000,1.05
33,20,2.0,3399,68000,1.02
34,20,0.0,3499,70000,1.25
35,20,1.0,3599,72000,0.91
36,20,1.0,3699,74000,1.05
37,20,1.0,3799,76000,1.11
38,20,1.0,3899,78000,1.05
39,20,2.0,3999,80000,1.12
40,20,0.0,4099,82000,1.0
41,20,1.0,4199,84000,1.0
42,20,2.0,4299,86000,0.97
43,20,1.0,4399,88000,1.06
44,20,2.0,4499,90000,1.15
45,20,1.0,4599,92000,0.96
46,20,2.0,4699,94000,1.21
47,20,1.0,4799,96000,1.04
48,20,1.0,4899,98000,1.24
49,20,2.0,4999,100000,1.15
